10.47130.992409 0
10.96480.992749 0
11.48150.993073 0
12.02260.993383 0
12.58930.993679 0
13.18260.993962 0
13.80380.994232 0
14.45440.99449 0
15.13560.994737 0
15.84890.994973 0
16.59590.995198 0
17.3780.995413 0
18.1970.995619 0
19.05460.995815 0
19.95260.996003 0
20.8930.996182 0
21.87760.996353 0
22.90870.996517 0
23.98830.996673 0
25.11890.996823 0
26.30270.996965 0
27.54230.997101 0
28.84030.997232 0
30.19950.997356 0
31.62280.997475 0
33.11310.997588 0
34.67370.997696 0
36.30780.9978 0
38.01890.997899 0
39.81070.997993 0
41.68690.998083 0
43.65160.998169 0
45.70880.998252 0
47.8630.99833 0
50.11870.998405 0
52.48070.998477 0
54.95410.998545 0
57.5440.998611 0
60.2560.998673 0
63.09570.998733 0
66.06930.99879 0
69.18310.998844 0
72.44360.998896 0
75.85780.998946 0
79.43280.998993 0
83.17640.999038 0
87.09640.999082 0
91.20110.999123 0
95.49930.999162 0
1000.9992 0
104.7130.999236 0
109.6480.99927 0
114.8150.999303 0
120.2260.999335 0
125.8930.999365 0
131.8260.999393 0
138.0380.99942 0
144.5440.999446 0
151.3560.999471 0
158.4890.999495 0
165.9590.999518 0
173.780.99954 0
181.970.99956 0
190.5460.99958 0
199.5260.999599 0
208.930.999617 0
218.7760.999634 0
229.0870.999651 0
239.8830.999666 0
251.1890.999681 0
263.0270.999696 0
275.4230.999709 0
288.4030.999723 0
301.9950.999735 0
316.2280.999747 0
331.1310.999758 0
346.7370.999769 0
363.0780.99978 0
380.1890.999789 0
398.1070.999799 0
416.8690.999808 0
436.5160.999817 0
457.0880.999825 0
478.630.999833 0
501.1870.99984 0
524.8070.999847 0
549.5410.999854 0
575.440.999861 0
602.560.999867 0
630.9570.999873 0
660.6930.999879 0
691.8310.999884 0
724.4360.99989 0
758.5780.999894 0
794.3280.999899 0
831.7640.999904 0
870.9640.999908 0
912.0110.999912 0
954.9930.999916 0
10000.99992 0
